[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=137 freereg=11 nactvar=9 line=391
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=392
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=393
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=394
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=395
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=396
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=397
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=398
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=399
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=400
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=401
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=402
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=403
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=404
[cg_emit_eq] e1=NonReloc info=10 e2=NonReloc info=11 r1=10 r2=11 freereg=12 nactvar=9 line=406
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=147 freereg=11 nactvar=9 line=412
[cg_emit_eq] e1=NonReloc info=10 e2=KInt info=0 r1=10 r2=137 freereg=11 nactvar=9 line=412
[cg_emit_eq] e1=NonReloc info=11 e2=NonReloc info=12 r1=11 r2=12 freereg=13 nactvar=10 line=419
[cg_emit_eq] e1=NonReloc info=11 e2=KInt info=0 r1=11 r2=147 freereg=12 nactvar=10 line=419
[cg_emit_eq] e1=NonReloc info=11 e2=KInt info=0 r1=11 r2=137 freereg=12 nactvar=10 line=419
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=13 r1=15 r2=13 freereg=16 nactvar=14 line=420
[cg_emit_eq] e1=NonReloc info=12 e2=NonReloc info=13 r1=12 r2=13 freereg=14 nactvar=10 line=424
[cg_emit_eq] e1=NonReloc info=11 e2=NonReloc info=12 r1=11 r2=12 freereg=13 nactvar=10 line=425
[cg_emit_eq] e1=NonReloc info=11 e2=NonReloc info=12 r1=11 r2=12 freereg=13 nactvar=10 line=428
[cg_emit_eq] e1=NonReloc info=14 e2=KInt info=0 r1=14 r2=137 freereg=15 nactvar=13 line=434
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=434
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=434
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=434
[cg_emit_eq] e1=NonReloc info=14 e2=KInt info=0 r1=14 r2=137 freereg=15 nactvar=13 line=436
[cg_emit_eq] e1=NonReloc info=11 e2=KInt info=0 r1=11 r2=137 freereg=14 nactvar=13 line=436
[cg_emit_eq] e1=NonReloc info=12 e2=NonReloc info=14 r1=12 r2=14 freereg=15 nactvar=13 line=436
[cg_emit_eq] e1=NonReloc info=15 e2=KInt info=0 r1=15 r2=137 freereg=16 nactvar=14 line=442
[cg_emit_eq] e1=NonReloc info=15 e2=KInt info=0 r1=15 r2=137 freereg=16 nactvar=14 line=443
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=15 line=464
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=16 r1=15 r2=16 freereg=17 nactvar=15 line=464
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=14 r1=15 r2=14 freereg=17 nactvar=16 line=470
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=470
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=137 freereg=18 nactvar=16 line=477
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=138 freereg=18 nactvar=16 line=477
